tcr,bin,accuracy,f1,precision,recall,cv_f1,num_mutations_in_bin,num_significant_features,penalty,C,solver
TRBV10-3_TRBJ2-1,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,17,l1,1,liblinear
TRBV10-3_TRBJ2-1,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,12,l1,1,liblinear
TRBV10-3_TRBJ2-2,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV10-3_TRBJ2-2,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,118,l1,10,liblinear
TRBV10-3_TRBJ2-2,1_to_3,1.0,1.0,1.0,1.0,0.45,292877,151,l1,10,liblinear
TRBV10-3_TRBJ2-2,1_to_4,1.0,1.0,1.0,1.0,0.5,355002,183,l1,10,liblinear
TRBV10-3_TRBJ2-2,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,135,l1,10,liblinear
TRBV10-3_TRBJ2-2,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,132,l1,10,liblinear
TRBV10-3_TRBJ2-2,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,112,l1,10,liblinear
TRBV11-2_TRBJ2-3,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV11-2_TRBJ2-3,1_to_2,1.0,1.0,1.0,1.0,0.25,203659,92,l1,10,liblinear
TRBV11-2_TRBJ2-3,1_to_3,1.0,1.0,1.0,1.0,0.45,292877,216,l1,10,liblinear
TRBV11-2_TRBJ2-3,1_to_4,1.0,1.0,1.0,1.0,0.25,355002,129,l1,10,liblinear
TRBV11-2_TRBJ2-3,1_to_5,1.0,1.0,1.0,1.0,0.6666666666666666,403774,108,l1,10,liblinear
TRBV11-2_TRBJ2-3,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,112,l1,10,liblinear
TRBV11-2_TRBJ2-3,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,15,l1,1,liblinear
TRBV11-2_TRBJ2-5,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV11-2_TRBJ2-5,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,264,l1,10,liblinear
TRBV11-2_TRBJ2-5,1_to_3,1.0,1.0,1.0,1.0,0.2,292877,161,l1,10,liblinear
TRBV11-2_TRBJ2-5,1_to_4,1.0,1.0,1.0,1.0,0.5833333333333333,355002,133,l1,10,liblinear
TRBV11-2_TRBJ2-5,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,105,l1,10,liblinear
TRBV11-2_TRBJ2-5,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,91,l1,10,liblinear
TRBV11-2_TRBJ2-5,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,78,l1,10,liblinear
TRBV12-3_TRBJ2-3,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,28,l1,10,liblinear
TRBV12-3_TRBJ2-3,1_to_2,1.0,1.0,1.0,1.0,0.0,203659,181,l1,10,liblinear
TRBV12-3_TRBJ2-3,1_to_3,1.0,1.0,1.0,1.0,0.0,292877,80,l1,1,liblinear
TRBV12-3_TRBJ2-3,1_to_4,1.0,1.0,1.0,1.0,0.41666666666666663,355002,17,l1,1,liblinear
TRBV12-3_TRBJ2-3,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,17,l1,1,liblinear
TRBV12-3_TRBJ2-3,1_to_6,1.0,1.0,1.0,1.0,0.5,444526,16,l1,1,liblinear
TRBV12-3_TRBJ2-3,1_to_7,1.0,1.0,1.0,1.0,0.6666666666666666,481320,21,l1,1,liblinear
TRBV12-3_TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV12-3_TRBJ2-7,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,290,l1,10,liblinear
TRBV12-3_TRBJ2-7,1_to_3,1.0,1.0,1.0,1.0,0.2,292877,151,l1,10,liblinear
TRBV12-3_TRBJ2-7,1_to_4,1.0,1.0,1.0,1.0,0.5833333333333333,355002,135,l1,10,liblinear
TRBV12-3_TRBJ2-7,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,98,l1,10,liblinear
TRBV12-3_TRBJ2-7,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,89,l1,10,liblinear
TRBV12-3_TRBJ2-7,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,78,l1,10,liblinear
TRBV12-4_TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV12-4_TRBJ2-7,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,118,l1,10,liblinear
TRBV12-4_TRBJ2-7,1_to_3,1.0,1.0,1.0,1.0,0.45,292877,142,l1,10,liblinear
TRBV12-4_TRBJ2-7,1_to_4,1.0,1.0,1.0,1.0,0.5,355002,175,l1,10,liblinear
TRBV12-4_TRBJ2-7,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,124,l1,10,liblinear
TRBV12-4_TRBJ2-7,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,136,l1,10,liblinear
TRBV12-4_TRBJ2-7,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,116,l1,10,liblinear
TRBV13_TRBJ2-2,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV13_TRBJ2-2,1_to_2,1.0,1.0,1.0,1.0,0.45,203659,145,l1,10,liblinear
TRBV13_TRBJ2-2,1_to_3,1.0,1.0,1.0,1.0,0.5333333333333333,292877,157,l1,10,liblinear
TRBV13_TRBJ2-2,1_to_4,1.0,1.0,1.0,1.0,0.5833333333333333,355002,144,l1,10,liblinear
TRBV13_TRBJ2-2,1_to_5,1.0,1.0,1.0,1.0,0.3333333333333333,403774,104,l1,10,liblinear
TRBV13_TRBJ2-2,1_to_6,1.0,1.0,1.0,1.0,0.3333333333333333,444526,89,l1,10,liblinear
TRBV13_TRBJ2-2,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,110,l1,10,liblinear
TRBV15_TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV15_TRBJ2-7,1_to_2,1.0,1.0,1.0,1.0,0.5,203659,121,l1,10,liblinear
TRBV15_TRBJ2-7,1_to_3,1.0,1.0,1.0,1.0,0.4,292877,156,l1,10,liblinear
TRBV15_TRBJ2-7,1_to_4,1.0,1.0,1.0,1.0,0.5,355002,138,l1,10,liblinear
TRBV15_TRBJ2-7,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,87,l1,10,liblinear
TRBV15_TRBJ2-7,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,14,l1,1,liblinear
TRBV15_TRBJ2-7,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,102,l1,10,liblinear
TRBV18_TRBJ1-5,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV18_TRBJ1-5,1_to_2,1.0,1.0,1.0,1.0,0.2,203659,64,l1,10,liblinear
TRBV18_TRBJ1-5,1_to_3,1.0,1.0,1.0,1.0,0.45,292877,188,l1,10,liblinear
TRBV18_TRBJ1-5,1_to_4,1.0,1.0,1.0,1.0,0.6666666666666666,355002,150,l1,10,liblinear
TRBV18_TRBJ1-5,1_to_5,1.0,1.0,1.0,1.0,0.3333333333333333,403774,148,l1,10,liblinear
TRBV18_TRBJ1-5,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,6,l1,1,liblinear
TRBV18_TRBJ1-5,1_to_7,1.0,1.0,1.0,1.0,0.5,481320,139,l1,10,liblinear
TRBV18_TRBJ2-3,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV18_TRBJ2-3,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,295,l1,10,liblinear
TRBV18_TRBJ2-3,1_to_3,1.0,1.0,1.0,1.0,0.2,292877,170,l1,10,liblinear
TRBV18_TRBJ2-3,1_to_4,1.0,1.0,1.0,1.0,0.5833333333333333,355002,147,l1,10,liblinear
TRBV18_TRBJ2-3,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,104,l1,10,liblinear
TRBV18_TRBJ2-3,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,91,l1,10,liblinear
TRBV18_TRBJ2-3,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,83,l1,10,liblinear
TRBV18_TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,29,l1,10,liblinear
TRBV18_TRBJ2-7,1_to_2,1.0,1.0,1.0,1.0,0.0,203659,209,l1,10,liblinear
TRBV18_TRBJ2-7,1_to_3,1.0,1.0,1.0,1.0,0.0,292877,24,l1,1,liblinear
TRBV18_TRBJ2-7,1_to_4,1.0,1.0,1.0,1.0,0.0,355002,27,l1,1,liblinear
TRBV18_TRBJ2-7,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,14,l1,1,liblinear
TRBV18_TRBJ2-7,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,20,l1,1,liblinear
TRBV18_TRBJ2-7,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,17,l1,1,liblinear
TRBV19_TRBJ1-1,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV19_TRBJ1-1,1_to_2,1.0,1.0,1.0,1.0,0.45,203659,171,l1,10,liblinear
TRBV19_TRBJ1-1,1_to_3,1.0,1.0,1.0,1.0,0.2,292877,153,l1,10,liblinear
TRBV19_TRBJ1-1,1_to_4,1.0,1.0,1.0,1.0,0.5,355002,164,l1,10,liblinear
TRBV19_TRBJ1-1,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,111,l1,10,liblinear
TRBV19_TRBJ1-1,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,119,l1,10,liblinear
TRBV19_TRBJ1-1,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,14,l1,1,liblinear
TRBV19_TRBJ1-2,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV19_TRBJ1-2,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,262,l1,10,liblinear
TRBV19_TRBJ1-2,1_to_3,1.0,1.0,1.0,1.0,0.2,292877,160,l1,10,liblinear
TRBV19_TRBJ1-2,1_to_4,1.0,1.0,1.0,1.0,0.5833333333333333,355002,137,l1,10,liblinear
TRBV19_TRBJ1-2,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,111,l1,10,liblinear
TRBV19_TRBJ1-2,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,93,l1,10,liblinear
TRBV19_TRBJ1-2,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,84,l1,10,liblinear
TRBV19_TRBJ1-4,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV19_TRBJ1-4,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,282,l1,10,liblinear
