tcr_id,bin,accuracy,f1_score,precision,recall,p_value,coefficient,positive_class_count,negative_class_count
TCR_6,1_lt_x_le_7,0.75,0.8571428571428571,0.75,1.0,0.3413880904342419,0.0,481320,1425175
TCR_7,exactly_8,0.75,0.0,0.0,0.0,0.3413880904342418,0.0,30106,1876389
TCR_7,1_lt_x_le_2,0.625,0.5714285714285715,0.5,0.6666666666666666,1.0,0.03341783335985548,203659,1702836
TCR_7,1_lt_x_le_3,0.5,0.0,0.0,0.0,1.0,0.0,292877,1613618
TCR_7,1_lt_x_le_4,0.5,0.0,0.0,0.0,1.0,0.0,355002,1551493
TCR_7,1_lt_x_le_5,0.5,0.0,0.0,0.0,1.0,0.0,403774,1502721
TCR_7,1_lt_x_le_6,0.625,0.6666666666666665,0.75,0.6,0.3413880904342419,0.03341740992741343,444526,1461969
TCR_7,1_lt_x_le_7,0.75,0.8571428571428571,0.75,1.0,0.3413880904342419,0.0,481320,1425175
TCR_8,exactly_8,0.5,0.3333333333333333,0.25,0.5,0.5370476566892541,0.07899702575164527,30106,1876389
TCR_8,1_lt_x_le_2,0.625,0.5714285714285715,0.5,0.6666666666666666,1.0,0.1593330509616833,203659,1702836
TCR_8,1_lt_x_le_3,0.75,0.75,0.75,0.75,0.5370476566892539,0.26806687801559087,292877,1613618
TCR_8,1_lt_x_le_4,0.75,0.75,0.75,0.75,0.5370476566892539,0.26806687801559087,355002,1551493
TCR_8,1_lt_x_le_5,0.75,0.75,0.75,0.75,0.5370476566892539,0.26806687801559087,403774,1502721
TCR_8,1_lt_x_le_6,0.375,0.0,0.0,0.0,0.5370476566892539,0.0,444526,1461969
TCR_8,1_lt_x_le_7,0.5,0.6,0.75,0.5,0.5370476566892539,-0.07899702575164567,481320,1425175
TCR_9,exactly_8,0.5,0.3333333333333333,0.25,0.5,0.36358738935106716,-0.1766404549651325,30106,1876389
TCR_9,1_lt_x_le_2,0.625,0.5714285714285715,0.5,0.6666666666666666,0.5195497483134264,0.5193082988310289,203659,1702836
TCR_9,1_lt_x_le_3,0.75,0.75,0.75,0.75,0.3635873893510668,0.6498654774574757,292877,1613618
TCR_9,1_lt_x_le_4,0.75,0.75,0.75,0.75,0.3635873893510668,0.6498654774574757,355002,1551493
TCR_9,1_lt_x_le_5,0.75,0.75,0.75,0.75,0.3635873893510668,0.6498654774574757,403774,1502721
TCR_9,1_lt_x_le_6,0.625,0.6666666666666665,0.75,0.6,0.3635873893510668,0.41346609745704277,444526,1461969
TCR_9,1_lt_x_le_7,0.5,0.6,0.75,0.5,0.3635873893510668,0.17664045496513245,481320,1425175
TCR_10,exactly_8,0.625,0.5714285714285715,0.4,1.0,0.9998545857957466,-0.676807441080337,30106,1876389
TCR_10,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.443494640145371,0.6901020565017455,203659,1702836
TCR_10,1_lt_x_le_3,0.625,0.5714285714285715,0.6666666666666666,0.5,0.443494640145371,0.3365036247145604,292877,1613618
TCR_10,1_lt_x_le_4,0.625,0.5714285714285715,0.6666666666666666,0.5,0.443494640145371,0.3365036247145604,355002,1551493
TCR_10,1_lt_x_le_5,0.625,0.5714285714285715,0.6666666666666666,0.5,0.443494640145371,0.3365036247145604,403774,1502721
TCR_10,1_lt_x_le_6,0.75,0.7499999999999999,1.0,0.6,0.999854594369747,0.8403662598344686,444526,1461969
TCR_10,1_lt_x_le_7,0.625,0.6666666666666666,1.0,0.5,0.999854594369747,0.6768074410803372,481320,1425175
TCR_11,exactly_8,0.625,0.5714285714285715,0.4,1.0,0.9999948977059525,-0.18605289763195548,30106,1876389
TCR_11,1_lt_x_le_2,0.75,0.5,1.0,0.3333333333333333,0.7935843244465017,0.1238306314613326,203659,1702836
TCR_11,1_lt_x_le_3,0.875,0.8571428571428571,1.0,0.75,0.9999948900143945,0.37699380364651996,292877,1613618
TCR_11,1_lt_x_le_4,0.875,0.8571428571428571,1.0,0.75,0.9999948900143945,0.37699380364651996,355002,1551493
TCR_11,1_lt_x_le_5,0.875,0.8571428571428571,1.0,0.75,0.9999948900143945,0.37699380364651996,403774,1502721
TCR_11,1_lt_x_le_6,0.75,0.7499999999999999,1.0,0.6,0.9999948900143945,0.2593615608375088,444526,1461969
TCR_11,1_lt_x_le_7,0.625,0.6666666666666666,1.0,0.5,0.9999948900143945,0.18605289763195676,481320,1425175
