"Gene","Mutation_Type","Count"
"USH2A","Missense_Mutation",46
"CDSN","In_Frame_Del",6
"CDSN","Missense_Mutation",39
"CFAP54","Missense_Mutation",44
"CFAP54","Nonsense_Mutation",1
"HELZ2","Missense_Mutation",45
"OTOGL","Missense_Mutation",45
"PIKFYVE","Missense_Mutation",45
"PTCHD3","Frame_Shift_Ins",5
"PTCHD3","In_Frame_Del",1
"PTCHD3","Missense_Mutation",33
"PTCHD3","Nonstop_Mutation",6
"SHOC1","Missense_Mutation",45
"SPATA31E1","Missense_Mutation",45
"APOB","In_Frame_Del",2
"APOB","Missense_Mutation",42
"CCHCR1","Missense_Mutation",38
"CCHCR1","Nonsense_Mutation",6
"CPAMD8","Missense_Mutation",44
"CRYBG2","Missense_Mutation",44
"DST","Missense_Mutation",44
"OR2T35","Frame_Shift_Del",7
"OR2T35","Frame_Shift_Ins",5
"OR2T35","In_Frame_Ins",3
"OR2T35","Missense_Mutation",29
"OVCH1","Missense_Mutation",44
"ABCA13","Missense_Mutation",43
"ANKRD36","Frame_Shift_Del",1
"ANKRD36","Missense_Mutation",42
"MROH7","Missense_Mutation",43
"MYO18B","Missense_Mutation",43
"MYOM3","Missense_Mutation",43
"OR8D4","Frame_Shift_Ins",1
"OR8D4","Missense_Mutation",42
"PCDHA9","Missense_Mutation",43
"PCLO","In_Frame_Ins",8
"PCLO","Missense_Mutation",35
"PRRC2A","In_Frame_Del",1
"PRRC2A","Missense_Mutation",42
"TEP1","Missense_Mutation",43
"TRIOBP","In_Frame_Del",5
"TRIOBP","Missense_Mutation",38
"VCX2","Missense_Mutation",43
"CELSR1","Missense_Mutation",42
"GEMIN4","Missense_Mutation",42
"KLRC3","Missense_Mutation",42
"MROH2B","Missense_Mutation",38
"MROH2B","Nonsense_Mutation",4
"NWD1","Frame_Shift_Del",1
"NWD1","Missense_Mutation",40
"NWD1","Nonsense_Mutation",1
"SERPINB11","Missense_Mutation",35
"SERPINB11","Nonsense_Mutation",7
"SNX19","Missense_Mutation",42
"WDFY4","Missense_Mutation",42
"CCDC57","Missense_Mutation",41
"HMCN2","Missense_Mutation",41
"HSPG2","Missense_Mutation",41
