"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples","MutationPercentage","MutationGroup"
"CUBN",0,0,0,0,50,0,0,0,0,50,8,8,100,"76-100%"
"CYP2A7",0,0,0,0,50,0,0,0,0,50,8,8,100,"76-100%"
"DNAH5",0,0,0,0,50,0,0,0,0,50,8,8,100,"76-100%"
"OTOG",0,0,0,0,49,0,0,0,0,49,8,8,100,"76-100%"
"SVEP1",0,0,0,0,48,0,0,1,0,49,8,8,100,"76-100%"
"TNXB",1,0,0,0,48,0,0,0,0,49,8,8,100,"76-100%"
"CAP1",0,0,0,0,48,0,0,0,0,48,8,8,100,"76-100%"
"CDH23",0,0,0,0,48,0,0,0,0,48,8,8,100,"76-100%"
"HEATR1",0,0,0,0,48,0,0,0,0,48,8,8,100,"76-100%"
"KIR3DL1",0,0,0,0,48,0,0,0,0,48,8,8,100,"76-100%"
"NRAP",0,0,0,0,48,0,0,0,0,48,8,8,100,"76-100%"
"TG",0,0,0,0,48,0,0,0,0,48,8,8,100,"76-100%"
"CCDC187",0,0,0,1,46,0,0,0,0,47,8,8,100,"76-100%"
"OR5H6",0,0,7,0,40,0,0,0,0,47,8,8,100,"76-100%"
"ULK4",0,0,0,0,47,0,0,0,0,47,8,8,100,"76-100%"
"ANKLE1",0,0,0,1,45,0,0,0,0,46,8,8,100,"76-100%"
"CAND2",0,0,0,0,46,0,0,0,0,46,8,8,100,"76-100%"
"USH2A",0,0,0,0,46,0,0,0,0,46,8,8,100,"76-100%"
"CDSN",0,0,6,0,39,0,0,0,0,45,8,8,100,"76-100%"
"CFAP54",0,0,0,0,44,1,0,0,0,45,8,8,100,"76-100%"
"HELZ2",0,0,0,0,45,0,0,0,0,45,8,8,100,"76-100%"
"OTOGL",0,0,0,0,45,0,0,0,0,45,8,8,100,"76-100%"
"PIKFYVE",0,0,0,0,45,0,0,0,0,45,8,8,100,"76-100%"
"PTCHD3",0,5,1,0,33,0,6,0,0,45,8,8,100,"76-100%"
"SHOC1",0,0,0,0,45,0,0,0,0,45,8,8,100,"76-100%"
"SPATA31E1",0,0,0,0,45,0,0,0,0,45,8,8,100,"76-100%"
"APOB",0,0,2,0,42,0,0,0,0,44,8,8,100,"76-100%"
"CCHCR1",0,0,0,0,38,6,0,0,0,44,8,8,100,"76-100%"
"CPAMD8",0,0,0,0,44,0,0,0,0,44,8,8,100,"76-100%"
"CRYBG2",0,0,0,0,44,0,0,0,0,44,8,8,100,"76-100%"
"DST",0,0,0,0,44,0,0,0,0,44,8,8,100,"76-100%"
"OR2T35",7,5,0,3,29,0,0,0,0,44,8,8,100,"76-100%"
"OVCH1",0,0,0,0,44,0,0,0,0,44,8,8,100,"76-100%"
"ABCA13",0,0,0,0,43,0,0,0,0,43,8,8,100,"76-100%"
"ANKRD36",1,0,0,0,42,0,0,0,0,43,8,8,100,"76-100%"
"MROH7",0,0,0,0,43,0,0,0,0,43,8,8,100,"76-100%"
